radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,
GSM,452,4,20393,50377,0,1.066.843,10.7923,500,26,1,1364834953,1744808342,0
GSM,452,4,20392,15071,0,1.066.718,10.7997,500,50,1,1418212106,1744808342,0
GSM,452,4,20392,11466,0,1.066.729,10.7994,607,48,1,1418212116,1744808342,0
GSM,452,4,20373,43031,0,1.066.288,10.8062,1194,40,1,1418310282,1738231867,0
GSM,452,4,20392,44341,0,1.066.767,10.795,1000,18,1,1418341900,1744808342,0
GSM,452,4,20475,45101,0,1.066.167,10.8012,800,29,1,1418345684,1738231867,0
GSM,452,4,20373,8783,0,1.066.214,10.7963,541,33,1,1418346045,1738231868,0
GSM,452,4,20373,8782,0,1.066.228,10.7942,1000,18,1,1418346094,1738231868,0
GSM,452,4,20392,13921,0,1.066.756,10.7956,642,46,1,1418352117,1744808342,0
GSM,452,4,20371,45551,0,1.066.219,10.7941,882,38,1,1418382539,1738231868,0
GSM,452,4,20507,13139,0,1.066.998,10.7595,500,50,1,1418452130,1744431901,0
GSM,452,4,20393,14488,0,1.066.867,10.795,670,50,1,1418479344,1744808342,0
GSM,452,4,20521,6954,0,1.066.918,10.7831,1000,16,1,1418522235,1744808341,0
GSM,452,4,20373,9736,0,1.066.202,10.8049,1000,13,1,1418561893,1738231867,0
GSM,452,4,20392,15072,0,106.672,10.7985,1000,15,1,1418686985,1744808342,0
GSM,452,4,20521,41812,0,1.066.936,10.7656,1000,15,1,1418688046,1744285202,0
GSM,452,4,20353,55958,0,1.067.449,10.8426,2165,22,1,1418690386,1738381150,0
GSM,452,4,20356,26410,0,1.067.589,10.8316,664,31,1,1418799471,1738381149,0
GSM,452,4,20506,6351,0,106.707,10.7705,1000,22,1,1418911672,1744645142,0
GSM,452,4,20506,12968,0,1.067.038,10.7735,1000,19,1,1418911885,1744645142,0
GSM,452,4,20521,6955,0,1.066.934,10.7805,500,50,1,1418946536,1735808514,0
GSM,452,4,20506,8691,0,1.066.965,10.7645,728,40,1,1418946586,1744285202,0
GSM,452,4,20392,44991,0,1.066.739,10.7967,500,40,1,1418956489,1744808342,0
GSM,452,4,20521,44664,0,1.066.975,10.7775,649,26,1,1419000108,1744645502,0
GSM,452,4,20392,6164,0,1.066.719,10.7973,500,26,1,1419036622,1744808342,0
GSM,452,4,20521,11456,0,106.689,10.7823,1000,22,1,1419086036,1744808341,0
GSM,452,4,20393,8896,0,1.066.758,10.7966,1000,20,1,1419123629,1744808342,0
GSM,452,4,20392,6006,0,1.066.781,10.793,500,30,1,1419136482,1744808342,0
GSM,452,4,20392,6004,0,1.066.798,10.7924,500,39,1,1419136507,1744808342,0
GSM,452,4,20506,17037,0,1.067.186,10.7726,920,44,1,1419159964,1735808511,0
GSM,452,4,20506,13288,0,1.066.988,10.7727,500,39,1,1419160253,1744645502,0
GSM,452,4,20521,41692,0,1.066.996,10.7811,673,25,1,1419306556,1735808514,0
GSM,452,4,20356,9681,0,1.067.622,10.833,1120,41,1,1419403268,1738381149,0
GSM,452,4,20477,42273,0,1.066.254,10.8154,1000,20,1,1419678082,1738231866,0
GSM,452,4,20506,10874,0,1.066.948,10.7622,1000,20,1,1419897116,1744285202,0
GSM,452,4,20477,9725,0,1.066.239,10.8125,1000,21,1,1419936965,1738231867,0
GSM,452,4,20506,48523,0,106.703,10.7628,500,29,1,1420077993,1744382221,0
GSM,452,4,20475,9152,0,1.066.135,10.8091,830,34,1,1420116653,1738231867,0
GSM,452,4,20506,7084,0,1.067.007,10.7751,1000,8,1,1420118553,1744645502,0
GSM,452,4,20521,43264,0,1.066.914,10.7774,550,50,1,1420272661,1744808341,0
GSM,452,4,20373,9735,0,1.066.233,10.8029,1055,24,1,1420284773,1738231867,0
GSM,452,4,20506,48521,0,1.067.071,10.7649,1396,23,1,1420287896,1744382221,0
GSM,452,4,20507,22040,0,1.067.051,10.7642,1000,4,1,1420288765,1744382221,0
GSM,452,4,20506,6786,0,1.066.921,10.7584,758,50,1,1420293056,1744285202,0
GSM,452,4,20392,47724,0,1.066.746,10.7961,500,28,1,1420599603,1744808342,0
GSM,452,4,20392,11465,0,1.066.751,10.7983,500,39,1,1421140478,1744808342,0
GSM,452,4,20522,13267,0,106.683,10.7542,1749,11,1,1422184945,1744285202,0
GSM,452,4,20475,44769,0,1.066.201,10.8053,1000,12,1,1422702570,1738231867,0
GSM,452,4,20475,53587,0,1.066.258,10.8081,4002,17,1,1422711573,1738231867,0
GSM,452,4,20477,10700,0,1.066.204,10.8105,1000,13,1,1422766468,1738231867,0
GSM,452,4,20507,48881,0,106.735,10.7612,3067,11,1,1424608391,1735808509,0
GSM,452,4,20477,9724,0,1.066.329,10.8166,3154,36,1,1425646744,1738231866,0
GSM,452,4,20506,19062,0,1.067.137,10.774,1934,28,1,1429966841,1744645501,0
